[2015-02-10 10:14:05] Memulai Prefill. 
[2015-02-10 10:14:05] Mencari file. 
[2015-02-10 10:14:06] Ekstrak file. 
[2015-02-10 10:16:00] Eksekusi data [20.49%] 
[2015-02-10 10:16:02] Eksekusi data [20.91%] 
[2015-02-10 10:16:04] Eksekusi data [21.33%] 
[2015-02-10 10:16:05] Eksekusi data [21.75%] 
[2015-02-10 10:16:07] Eksekusi data [22.17%] 
[2015-02-10 10:16:09] Eksekusi data [22.59%] 
[2015-02-10 10:16:10] Eksekusi data [23%] 
[2015-02-10 10:16:12] Eksekusi data [23.42%] 
[2015-02-10 10:16:14] Eksekusi data [23.84%] 
[2015-02-10 10:16:15] Eksekusi data [24.26%] 
[2015-02-10 10:16:17] Eksekusi data [24.68%] 
[2015-02-10 10:16:19] Eksekusi data [25.1%] 
[2015-02-10 10:16:20] Eksekusi data [25.51%] 
[2015-02-10 10:16:22] Eksekusi data [25.93%] 
[2015-02-10 10:16:24] Eksekusi data [26.35%] 
[2015-02-10 10:16:25] Eksekusi data [26.77%] 
[2015-02-10 10:16:27] Eksekusi data [27.19%] 
[2015-02-10 10:16:28] Eksekusi data [27.6%] 
[2015-02-10 10:16:30] Eksekusi data [28.02%] 
[2015-02-10 10:16:31] Eksekusi data [28.44%] 
[2015-02-10 10:16:33] Eksekusi data [28.86%] 
[2015-02-10 10:16:35] Eksekusi data [29.28%] 
[2015-02-10 10:16:36] Eksekusi data [29.7%] 
[2015-02-10 10:16:38] Eksekusi data [30.11%] 
[2015-02-10 10:16:39] Eksekusi data [30.53%] 
[2015-02-10 10:16:41] Eksekusi data [30.95%] 
[2015-02-10 10:16:42] Eksekusi data [31.37%] 
[2015-02-10 10:16:44] Eksekusi data [31.79%] 
[2015-02-10 10:16:45] Eksekusi data [32.21%] 
[2015-02-10 10:16:47] Eksekusi data [32.62%] 
[2015-02-10 10:16:54] Eksekusi data [33.04%] 
[2015-02-10 10:16:55] Eksekusi data [33.46%] 
[2015-02-10 10:16:57] Eksekusi data [33.88%] 
[2015-02-10 10:16:59] Eksekusi data [34.3%] 
[2015-02-10 10:17:00] Eksekusi data [34.72%] 
[2015-02-10 10:17:02] Eksekusi data [35.13%] 
[2015-02-10 10:17:03] Eksekusi data [35.55%] 
[2015-02-10 10:17:05] Eksekusi data [35.97%] 
[2015-02-10 10:17:06] Eksekusi data [36.39%] 
[2015-02-10 10:17:08] Eksekusi data [36.81%] 
[2015-02-10 10:17:10] Eksekusi data [37.22%] 
[2015-02-10 10:17:11] Eksekusi data [37.64%] 
[2015-02-10 10:17:13] Eksekusi data [38.06%] 
[2015-02-10 10:17:14] Eksekusi data [38.48%] 
[2015-02-10 10:17:16] Eksekusi data [38.9%] 
[2015-02-10 10:17:18] Eksekusi data [39.32%] 
[2015-02-10 10:17:19] Eksekusi data [39.73%] 
[2015-02-10 10:17:21] Eksekusi data [40.15%] 
[2015-02-10 10:17:22] Eksekusi data [40.57%] 
[2015-02-10 10:17:24] Eksekusi data [40.99%] 
[2015-02-10 10:17:26] Eksekusi data [41.41%] 
[2015-02-10 10:17:27] Eksekusi data [41.83%] 
[2015-02-10 10:17:29] Eksekusi data [42.24%] 
[2015-02-10 10:17:31] Eksekusi data [42.66%] 
[2015-02-10 10:17:32] Eksekusi data [43.08%] 
[2015-02-10 10:17:34] Eksekusi data [43.5%] 
[2015-02-10 10:17:36] Eksekusi data [43.92%] 
[2015-02-10 10:17:37] Eksekusi data [44.34%] 
[2015-02-10 10:17:39] Eksekusi data [44.75%] 
[2015-02-10 10:17:41] Eksekusi data [45.17%] 
[2015-02-10 10:17:42] Eksekusi data [45.59%] 
[2015-02-10 10:17:44] Eksekusi data [46.01%] 
[2015-02-10 10:17:46] Eksekusi data [46.43%] 
[2015-02-10 10:17:48] Eksekusi data [46.84%] 
[2015-02-10 10:17:49] Eksekusi data [47.26%] 
[2015-02-10 10:17:51] Eksekusi data [47.68%] 
[2015-02-10 10:17:53] Eksekusi data [48.1%] 
[2015-02-10 10:17:55] Eksekusi data [48.52%] 
[2015-02-10 10:17:56] Eksekusi data [48.94%] 
[2015-02-10 10:17:58] Eksekusi data [49.35%] 
[2015-02-10 10:18:00] Eksekusi data [49.77%] 
[2015-02-10 10:18:01] Eksekusi data [50.19%] 
[2015-02-10 10:18:03] Eksekusi data [50.61%] 
[2015-02-10 10:18:05] Eksekusi data [51.03%] 
[2015-02-10 10:18:06] Eksekusi data [51.45%] 
[2015-02-10 10:18:08] Eksekusi data [51.86%] 
[2015-02-10 10:18:10] Eksekusi data [52.28%] 
[2015-02-10 10:18:11] Eksekusi data [52.7%] 
[2015-02-10 10:18:13] Eksekusi data [53.12%] 
[2015-02-10 10:18:14] Eksekusi data [53.54%] 
[2015-02-10 10:18:16] Eksekusi data [53.96%] 
[2015-02-10 10:18:21] Eksekusi data [54.37%] 
[2015-02-10 10:18:22] Eksekusi data [54.79%] 
[2015-02-10 10:18:24] Eksekusi data [55.21%] 
[2015-02-10 10:18:26] Eksekusi data [55.63%] 
[2015-02-10 10:18:27] Eksekusi data [56.05%] 
[2015-02-10 10:18:29] Eksekusi data [56.46%] 
[2015-02-10 10:18:31] Eksekusi data [56.88%] 
[2015-02-10 10:18:32] Eksekusi data [57.3%] 
[2015-02-10 10:18:34] Eksekusi data [57.72%] 
[2015-02-10 10:18:36] Eksekusi data [58.14%] 
[2015-02-10 10:18:37] Eksekusi data [58.56%] 
[2015-02-10 10:18:39] Eksekusi data [58.97%] 
[2015-02-10 10:18:41] Eksekusi data [59.39%] 
[2015-02-10 10:18:43] Eksekusi data [59.81%] 
[2015-02-10 10:18:44] Eksekusi data [60.23%] 
[2015-02-10 10:18:46] Eksekusi data [60.65%] 
[2015-02-10 10:18:48] Eksekusi data [61.07%] 
[2015-02-10 10:18:49] Eksekusi data [61.48%] 
[2015-02-10 10:18:51] Eksekusi data [61.9%] 
[2015-02-10 10:18:52] Eksekusi data [62.32%] 
[2015-02-10 10:18:54] Eksekusi data [62.74%] 
[2015-02-10 10:18:55] Eksekusi data [63.16%] 
[2015-02-10 10:18:57] Eksekusi data [63.57%] 
[2015-02-10 10:18:59] Eksekusi data [63.99%] 
[2015-02-10 10:19:00] Eksekusi data [64.41%] 
[2015-02-10 10:19:02] Eksekusi data [64.83%] 
[2015-02-10 10:19:03] Eksekusi data [65.25%] 
[2015-02-10 10:19:05] Eksekusi data [65.67%] 
[2015-02-10 10:19:06] Eksekusi data [66.08%] 
[2015-02-10 10:19:08] Eksekusi data [66.5%] 
[2015-02-10 10:19:09] Eksekusi data [66.92%] 
[2015-02-10 10:19:11] Eksekusi data [67.34%] 
[2015-02-10 10:19:13] Eksekusi data [67.76%] 
[2015-02-10 10:19:15] Eksekusi data [68.18%] 
[2015-02-10 10:19:16] Eksekusi data [68.59%] 
[2015-02-10 10:19:18] Eksekusi data [69.01%] 
[2015-02-10 10:19:19] Eksekusi data [69.43%] 
[2015-02-10 10:19:21] Eksekusi data [69.85%] 
[2015-02-10 10:19:23] Eksekusi data [70.27%] 
[2015-02-10 10:19:24] Eksekusi data [70.69%] 
[2015-02-10 10:19:26] Eksekusi data [71.1%] 
[2015-02-10 10:19:28] Eksekusi data [71.52%] 
[2015-02-10 10:19:29] Eksekusi data [71.94%] 
[2015-02-10 10:19:31] Eksekusi data [72.36%] 
[2015-02-10 10:19:35] Eksekusi data [72.78%] 
[2015-02-10 10:19:37] Eksekusi data [73.19%] 
[2015-02-10 10:19:38] Eksekusi data [73.61%] 
[2015-02-10 10:19:40] Eksekusi data [74.03%] 
[2015-02-10 10:19:41] Eksekusi data [74.45%] 
[2015-02-10 10:19:43] Eksekusi data [74.87%] 
[2015-02-10 10:19:44] Eksekusi data [75.29%] 
[2015-02-10 10:19:46] Eksekusi data [75.7%] 
[2015-02-10 10:19:48] Eksekusi data [76.12%] 
[2015-02-10 10:19:49] Eksekusi data [76.54%] 
[2015-02-10 10:19:51] Eksekusi data [76.96%] 
[2015-02-10 10:19:52] Eksekusi data [77.38%] 
[2015-02-10 10:19:54] Eksekusi data [77.8%] 
[2015-02-10 10:19:56] Eksekusi data [78.21%] 
[2015-02-10 10:19:57] Eksekusi data [78.63%] 
[2015-02-10 10:19:59] Eksekusi data [79.05%] 
[2015-02-10 10:20:00] Eksekusi data [79.47%] 
[2015-02-10 10:20:02] Eksekusi data [79.89%] 
[2015-02-10 10:20:03] Eksekusi data [80.31%] 
[2015-02-10 10:20:05] Eksekusi data [80.72%] 
[2015-02-10 10:20:06] Eksekusi data [81.14%] 
[2015-02-10 10:20:08] Eksekusi data [81.56%] 
[2015-02-10 10:20:10] Eksekusi data [81.98%] 
[2015-02-10 10:20:11] Eksekusi data [82.4%] 
[2015-02-10 10:20:13] Eksekusi data [82.81%] 
[2015-02-10 10:20:15] Eksekusi data [83.23%] 
[2015-02-10 10:20:17] Eksekusi data [83.65%] 
[2015-02-10 10:20:18] Eksekusi data [84.07%] 
[2015-02-10 10:20:20] Eksekusi data [84.49%] 
[2015-02-10 10:20:21] Eksekusi data [84.91%] 
[2015-02-10 10:20:23] Eksekusi data [85.32%] 
[2015-02-10 10:20:24] Eksekusi data [85.74%] 
[2015-02-10 10:20:26] Eksekusi data [86.16%] 
[2015-02-10 10:20:28] Eksekusi data [86.58%] 
[2015-02-10 10:20:30] Eksekusi data [87%] 
[2015-02-10 10:20:31] Eksekusi data [87.42%] 
[2015-02-10 10:20:33] Eksekusi data [87.83%] 
[2015-02-10 10:20:35] Eksekusi data [88.25%] 
[2015-02-10 10:20:37] Eksekusi data [88.67%] 
[2015-02-10 10:20:39] Eksekusi data [89.09%] 
[2015-02-10 10:20:41] Eksekusi data [89.51%] 
[2015-02-10 10:20:47] Eksekusi data [89.93%] 
[2015-02-10 10:20:48] Eksekusi data [90.34%] 
[2015-02-10 10:20:50] Eksekusi data [90.76%] 
[2015-02-10 10:20:51] Eksekusi data [91.18%] 
[2015-02-10 10:20:53] Eksekusi data [91.6%] 
[2015-02-10 10:20:55] Eksekusi data [92.02%] 
[2015-02-10 10:20:56] Eksekusi data [92.43%] 
[2015-02-10 10:20:58] Eksekusi data [92.85%] 
[2015-02-10 10:21:00] Eksekusi data [93.27%] 
[2015-02-10 10:21:01] Eksekusi data [93.69%] 
[2015-02-10 10:21:03] Eksekusi data [94.11%] 
[2015-02-10 10:21:05] Eksekusi data [94.53%] 
[2015-02-10 10:21:06] Eksekusi data [94.94%] 
[2015-02-10 10:21:08] Eksekusi data [95.36%] 
[2015-02-10 10:21:10] Eksekusi data [95.78%] 
[2015-02-10 10:21:11] Eksekusi data [96.2%] 
[2015-02-10 10:21:13] Eksekusi data [96.62%] 
[2015-02-10 10:21:15] Eksekusi data [97.04%] 
[2015-02-10 10:21:17] Eksekusi data [97.45%] 
[2015-02-10 10:21:18] Eksekusi data [97.87%] 
[2015-02-10 10:21:20] Eksekusi data [98.29%] 
[2015-02-10 10:21:21] Eksekusi data [98.71%] 
[2015-02-10 10:21:23] Eksekusi data [99.13%] 
[2015-02-10 10:21:25] Eksekusi data [99.54%] 
[2015-02-10 10:21:26] Eksekusi data [99.96%] 
