[2015-06-15 08:31:35] Memulai Prefill. 
[2015-06-15 08:31:35] Mencari file. 
[2015-06-15 08:31:35] Ekstrak file. 
[2015-06-15 08:37:42] Eksekusi data [70.48%] 
[2015-06-15 08:37:43] Eksekusi data [70.87%] 
[2015-06-15 08:37:45] Eksekusi data [71.26%] 
[2015-06-15 08:37:47] Eksekusi data [71.66%] 
[2015-06-15 08:37:48] Eksekusi data [72.05%] 
[2015-06-15 08:37:50] Eksekusi data [72.45%] 
[2015-06-15 08:37:52] Eksekusi data [72.84%] 
[2015-06-15 08:37:53] Eksekusi data [73.23%] 
[2015-06-15 08:37:56] Eksekusi data [73.63%] 
[2015-06-15 08:37:58] Eksekusi data [74.02%] 
[2015-06-15 08:38:00] Eksekusi data [74.41%] 
[2015-06-15 08:38:01] Eksekusi data [74.81%] 
[2015-06-15 08:38:03] Eksekusi data [75.2%] 
[2015-06-15 08:38:06] Eksekusi data [75.6%] 
[2015-06-15 08:38:08] Eksekusi data [75.99%] 
[2015-06-15 08:38:10] Eksekusi data [76.38%] 
[2015-06-15 08:38:11] Eksekusi data [76.78%] 
[2015-06-15 08:38:13] Eksekusi data [77.17%] 
[2015-06-15 08:38:15] Eksekusi data [77.56%] 
[2015-06-15 08:38:22] Eksekusi data [77.96%] 
[2015-06-15 08:38:25] Eksekusi data [78.35%] 
[2015-06-15 08:38:27] Eksekusi data [78.74%] 
[2015-06-15 08:38:28] Eksekusi data [79.14%] 
[2015-06-15 08:38:30] Eksekusi data [79.53%] 
[2015-06-15 08:38:31] Eksekusi data [79.93%] 
[2015-06-15 08:38:33] Eksekusi data [80.32%] 
[2015-06-15 08:38:35] Eksekusi data [80.71%] 
[2015-06-15 08:38:37] Eksekusi data [81.11%] 
[2015-06-15 08:38:39] Eksekusi data [81.5%] 
[2015-06-15 08:38:41] Eksekusi data [81.89%] 
[2015-06-15 08:38:43] Eksekusi data [82.29%] 
[2015-06-15 08:38:45] Eksekusi data [82.68%] 
[2015-06-15 08:38:52] Eksekusi data [83.08%] 
[2015-06-15 08:38:55] Eksekusi data [83.47%] 
[2015-06-15 08:38:57] Eksekusi data [83.86%] 
[2015-06-15 08:38:59] Eksekusi data [84.26%] 
[2015-06-15 08:39:00] Eksekusi data [84.65%] 
[2015-06-15 08:39:02] Eksekusi data [85.04%] 
[2015-06-15 08:39:04] Eksekusi data [85.44%] 
[2015-06-15 08:39:06] Eksekusi data [85.83%] 
[2015-06-15 08:39:08] Eksekusi data [86.23%] 
[2015-06-15 08:39:09] Eksekusi data [86.62%] 
[2015-06-15 08:39:11] Eksekusi data [87.01%] 
[2015-06-15 08:39:13] Eksekusi data [87.41%] 
[2015-06-15 08:39:14] Eksekusi data [87.8%] 
[2015-06-15 08:39:16] Eksekusi data [88.19%] 
[2015-06-15 08:39:18] Eksekusi data [88.59%] 
[2015-06-15 08:39:20] Eksekusi data [88.98%] 
[2015-06-15 08:39:21] Eksekusi data [89.38%] 
[2015-06-15 08:39:23] Eksekusi data [89.77%] 
[2015-06-15 08:39:26] Eksekusi data [90.16%] 
[2015-06-15 08:39:35] Eksekusi data [90.56%] 
[2015-06-15 08:39:37] Eksekusi data [90.95%] 
[2015-06-15 08:39:39] Eksekusi data [91.34%] 
[2015-06-15 08:39:41] Eksekusi data [91.74%] 
[2015-06-15 08:39:42] Eksekusi data [92.13%] 
[2015-06-15 08:39:44] Eksekusi data [92.53%] 
[2015-06-15 08:39:45] Eksekusi data [92.92%] 
[2015-06-15 08:39:47] Eksekusi data [93.31%] 
[2015-06-15 08:39:49] Eksekusi data [93.71%] 
[2015-06-15 08:39:51] Eksekusi data [94.1%] 
[2015-06-15 08:39:52] Eksekusi data [94.49%] 
[2015-06-15 08:39:54] Eksekusi data [94.89%] 
[2015-06-15 08:39:55] Eksekusi data [95.28%] 
[2015-06-15 08:39:57] Eksekusi data [95.67%] 
[2015-06-15 08:39:59] Eksekusi data [96.07%] 
[2015-06-15 08:40:01] Eksekusi data [96.46%] 
[2015-06-15 08:40:03] Eksekusi data [96.86%] 
[2015-06-15 08:40:05] Eksekusi data [97.25%] 
[2015-06-15 08:40:06] Eksekusi data [97.64%] 
[2015-06-15 08:40:08] Eksekusi data [98.04%] 
[2015-06-15 08:40:10] Eksekusi data [98.43%] 
[2015-06-15 08:40:12] Eksekusi data [98.82%] 
[2015-06-15 08:40:13] Eksekusi data [99.22%] 
[2015-06-15 08:40:15] Eksekusi data [99.61%] 
